sentence,sentiment,confidence
rt bagi rakyat yg waras bukan kadrun hti teroris ikwanul muslimin amp fpi pasti bahagia menerima dan menyambut ikn nusantara yg menolak itu bangsat ikwanul muslimin kadrun fpi hti dan teroris sprti anda ini bung wahid,Negative,"[6.0147587646497414e-05, 0.9995173215866089, 0.0004225610173307359]"
rt namain ibu kota baru jihadabad kota jihad,Positive,"[0.00011540146078914404, 0.0001865922677097842, 0.9996980428695679]"
rt ibu kota baru cina nusantara gate,Negative,"[0.00011617333075264469, 0.9995437264442444, 0.00034007499925792217]"
rt covid cuma dijadikan alasan teror kpd rakyat sedang pindah ibu kota butuh dana yg banyklantas yg terdampak ekonomi rakyat dibiarkan covid vs ikn sebenarnya siapa teroris yg sesungguhnya,Negative,"[0.00022278493270277977, 0.9961612224578857, 0.003615973750129342]"
ruu ikn sdh menjadi uu hanya pks yg menolak itu hal yg wajar pks kan satunya parpol pendukung hti fpi,Negative,"[0.0001542952231829986, 0.9996453523635864, 0.00020037770445924252]"
sedang penggiringan isu hashtag urgensi soal proses pemindahan ibu kota negara hanya x jam laporan dugaan korupsi anak jokowi dodo penjemputan paksa polisi pada aktivis ham haris azhar dan fathia dengan dalih kami pancasila kalian radikal,Negative,"[4.5009521272731945e-05, 0.9995794892311096, 0.0003754789649974555]"
si telor busuk nongol lagi kawanan hti amp pks matian menolak ibu kota baru,Negative,"[5.619142029900104e-05, 0.9997640252113342, 0.00017983774887397885]"
terkait pks menolak pemindahan ibu kota negara ikn tagar menjadi trending topic warganet geram bubarkan seperti fpi dan hti lewat online,Negative,"[0.00023017264902591705, 0.9996228218078613, 0.0001468785631004721]"
woyyy drun jangan coba demo silit ke ikn nusantara karna laskar nasbung model fpi hti akan digilasdi mandau manyau orang dayak disana,Positive,"[0.00023781311756465584, 0.0003645599936135113, 0.9993976354598999]"
woyyy drun jangan coba demo silit ke ikn nusantara karna nasbung model fpi hti akan digilasdi mandau manyau orang dayak disana bro,Positive,"[0.00011641368473647162, 0.00020819588098675013, 0.9996753931045532]"
pks mau bilang tergesagesa atau apapun kalimatnyapemindahan ikn baru tetap di jalankanbu novi klo bcr jgn pakai bawah nama rakyat untk keuntungan pksrakyat sdh tdk percaya pkspks politik identitas agama yg mengandalkan para kaum imigran arabyaman yg sifatnya radikalis,Negative,"[0.0005846959538757801, 0.9984070658683777, 0.0010082428343594074]"
ini yg ada dlm pikiran saya smg kritik thd jaksa bkn sekedar drama sbg pengalihan perhatian publik pd proses ketuk palu uu ikn kalo berbuntut panjang kan ckp dg minta maaf urusan th gak sulit selama orang yg bermasalah dg isi perut lbh banyak drpd yg berpikir jauh kedpn,Negative,"[0.00012619496555998921, 0.9988786578178406, 0.000995055539533496]"
semoga saja kritik jaksa berbahasa sunda bukan sekedar drama sebagai pengalihan perhatian publik pada proses ketuk palu uu ikn kalo berbuntut anjang kan cukup dg minta maaf,Negative,"[9.431760554434732e-05, 0.9992640614509583, 0.0006416371325030923]"
smg saja kritik jaksa berbahasa sunda bkn sekedar drama sbg pengalihan perhatian publik pada proses ketuk palu uu ikn kalo berbuntut panjang kan cukup dg minta maaf urusan th kan gak sulit selama orang dg kebutuhan isi perut lebih banyak drpd yg berpikir jauh ke depan,Negative,"[7.097082561813295e-05, 0.9992316961288452, 0.0006973515264689922]"
berti ikn bisa di kuasai seumur hidup dan turun temurun,Negative,"[8.983104635262862e-05, 0.9986631870269775, 0.0012469522189348936]"
buka lagi kalau ada yang masih punya file video propaganda hti digelora gbk tujuan akhir tahun tancapkan khilafah gak heran ikn dan nusantara hancur leburkan hti khilafah,Negative,"[4.314703255658969e-05, 0.9995068311691284, 0.00044999620877206326]"
kan salah satu kearifan lokal dg sesekali pakai bhs sunda emang dari a sampai z ngomongnya sunda terus gitu sono pindah ke ikn nusantara sajakwkwkwkwk,Negative,"[0.00017041436512954533, 0.9989790916442871, 0.0008505715522915125]"
kepindahan ibu kota negara ke nusantara sungguh memilukan bagi pejuang khilafah ex hti fpi yamanis dan pks situasi yang bagi mereka sedang hamil tua menunggu kelahiran tatanan negara baru tibatiba seperti keguguran lemas tak berdaya,Negative,"[7.957868365338072e-05, 0.9995911717414856, 0.0003292281471658498]"
rt agenda pks dan kelompok radikal nolak ikn dgn segala narasi adalah menggagalkan investasi asing utk bikin ekonomi negara makin terpuruk biadab,Negative,"[5.5216372857103124e-05, 0.9996812343597412, 0.0002635615528561175]"
rt teroris nongol tolak ibu kota baru din syamsuddin akan gugat uu ikn ke mk,Negative,"[0.00039562283200211823, 0.9994707703590393, 0.00013364806363824755]"
sekelompok begundal komunis berpakaian agamis ditunggangi parpol teroris cs ribut permasalahkan ikn nusantara di kaltim sebaiknya bergerak amankan teroris ideologis ini sebelum semakin kurang ajar pada kepentingan negeri,Negative,"[5.5393298680428416e-05, 0.999671220779419, 0.00027341832173988223]"
teroris nongol tolak ibu kota baru din syamsuddin akan gugat uu ikn ke mk,Negative,"[0.0002532295184209943, 0.9996218681335449, 0.00012483623868320137]"
ya tdk juga kan badan otorita ikn setara menteri yg bertanggungjawab kpd presiden amp diawasi oleh dprdpdbpkbpkpkpkkejagungpolri mereka semua ada amp bertugas di ikn dprd kaltim juga bisa awasi amp laporkan hsl pengawasannya kpd aparat tsb di atas jadi kalau otoriter celaka,Negative,"[0.0001963631366379559, 0.9841626882553101, 0.015640944242477417]"
seperti panglima tni kasadkapolrijaksa agung menko dll semua kebijakan politik anggaran dll oleh selain menteri penganulir tidak sah menurut supersemar amp melanggar konstitusi gibrankaesang,Negative,"[0.00016142857202794403, 0.9995847344398499, 0.00025378630380146205]"
oh rangkuman kisah romantisme rupanya opo mempan hehehhe masak gara menolak ikn suruh bubar yg milih aja banyak hehehehe tuh yg minta jaksa agung dipecat gara gitu kau serang gak masuk logika,Negative,"[4.3746334995375946e-05, 0.999659538269043, 0.00029668741626664996]"
cek info dari akan terjadinya teror bom utk mengalihkan gejolak tolak ikn korupsi anak presidenamptolak pdip di jabar cc,Negative,"[6.401361315511167e-05, 0.9994148015975952, 0.0005212334217503667]"
yg nomor habib rizieq pernah lakukan sampurasun dia sebut campur racun hr ini beredar di medsos video edy mulyadi kader pks menghina orang kalimantan soal ikn kelakuan manusia pd dasarnya sama jangan hanya caricari kesalahan orang lain sj,Positive,"[6.429637869587168e-05, 0.00042108327033929527, 0.9995145797729492]"
urgensix apa klo ntar disorot pertumbuhan ekonomi mandeg dalihx mba pendukung nih lagi masa covid seluruh dunia heheheh tp ko malah mau pindah ikn dr yg ga pake apbn skrang pake apbn dg budget x lipat lbih dr rencana awal dtambah make dana pen yg jika dipake itu langgar uu,Positive,"[0.00021769484737887979, 0.00021353433839976788, 0.99956876039505]"
harapan sy agar kaum radikal dan kadrun jika akan demo biar mengeluarkan biaya besar dan di ikn baru tdk ada monas,Negative,"[0.00028384444885887206, 0.9971787929534912, 0.0025373066309839487]"
semangaat indonesia era globalisasi kompetisi global semoga rencana ikn nusantara lancar sukses indonesia centris bmanfaat multiplier effect modernramah lh thn smg groundbreaking rencn ikn nusantara makin gencar pmbangunan multisektor unt indonesia maju,Positive,"[0.00031092247809283435, 0.0007948525017127395, 0.9988942742347717]"
ahoker radikal semoga ikn sgr kelar buruan dah lu pindah kesono,Negative,"[0.0011329505359753966, 0.9984084963798523, 0.0004586382128763944]"
hti dan fpi dapat amunisii klo nasbung dah pindah ke ikn nusantara sampe hidup kembali,Negative,"[0.00017970477347262204, 0.9951318502426147, 0.004688402637839317]"
klompok khilafah dan radikal tertolak di ikn nusantara klo di gurun mah sudah emang habitatnya biarin ajaa berkembang biak di sanaa,Negative,"[4.657994577428326e-05, 0.9997444748878479, 0.00020895204215776175]"
ayoo saatnya jauhkan dan jaga ibukota nkri dari kungkungan radikal dan intoleransi ikn nusantara,Negative,"[0.009960384108126163, 0.9704312086105347, 0.0196083951741457]"
din syamsudin menggugat uu ikn ke mk saya hanya berpikir dia se orang teroris tapi jgn coba membangun remaong tidur kalimantan akan bersikap kami bisa mengajukan gugatan ke mahkamah internasional berdasarkan uu nomor tahun,Negative,"[4.907780385110527e-05, 0.9993404746055603, 0.0006104480125941336]"
hti tolak ikn kalau gerombolan khilafah mah jangankan cuma ibukota negara indonesia juga dia nolak,Negative,"[7.94272345956415e-05, 0.9997624754905701, 0.0001581613178132102]"
kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korupsi dukung ikn nusantara,Positive,"[0.007234305143356323, 0.04623328894376755, 0.9465324878692627]"
mengenal daerah dgn kearifan lokal yg akan menjadi ikn nusantara di provinsi kalimantan timur mari kita dukung kebijakan pemerintah indonesia,Positive,"[8.162492304109037e-05, 0.0003559796023182571, 0.9995623230934143]"
pemindahan ikn ini sepertinya mengacak strategi jangka panjang pks hti para bohir dll untuk kuasai jakarta makanya mereka meraungraung,Negative,"[0.00014903699047863483, 0.9994999170303345, 0.0003510169335640967]"
polri kejaksaan ri amp kpk terus meningkatkan sinergitas untuk berantas korupsi dukung ikn nusantara,Positive,"[0.0001043652300722897, 0.0019257570384070277, 0.9979698061943054]"
rt hti tolak ikn kalau gerombolan khilafah mah jangankan cuma ibukota negara indonesia juga dia nolak,Negative,"[0.00010551023297011852, 0.9997686743736267, 0.0001258370466530323]"
rt din syamsudin menggugat uu ikn ke mk saya hanya berpikir dia se orang teroris tapi jgn coba membangun remaong tidur kalimantan akan bersikap kami bisa mengajukan gugatan ke mahkamah internasional berdasarkan uu nomor tahun,Negative,"[4.433055073604919e-05, 0.9993665814399719, 0.0005891617038287222]"
rt pemindahan ikn ini sepertinya mengacak strategi jangka panjang pks hti para bohir dll untuk kuasai jakarta makanya mereka meraungraung,Negative,"[0.00011158157576574013, 0.9995786547660828, 0.0003097903972957283]"
rt mengenal daerah dgn kearifan lokal yg akan menjadi ikn nusantara di provinsi kalimantan timur mari kita dukung kebijakan pemerintah indonesia,Positive,"[8.028740558074787e-05, 0.00037781050195917487, 0.9995418787002563]"
rt harapan sy agar kaum radikal dan kadrun jika akan demo biar mengeluarkan biaya besar dan di ikn baru tdk ada monas,Negative,"[0.0008381587103940547, 0.9973644614219666, 0.0017973774811252952]"
semoga cepat pindah gua yakin kalau ibu kota negara di kalimantan ga ada lagi aktifitas manusia radikal yg mengganggu kerja pemerintah,Negative,"[0.001970053883269429, 0.9907140731811523, 0.0073158591985702515]"
prabowo siap bantu kejagung ungkap dugaan kasus satelit bodong dukung ikn nusantara h,Positive,"[0.00010457979806233197, 0.0015823165886104107, 0.9983130693435669]"
syarat utama kepala otorita ikn sebaiknya setia pancasila bukan pendukung hti fpi ormas trlarang parpol yg anti pancasila smart cerdas tegasamp lugas leadership yg bgus berani lawan mafiakoruptor mngutamakan kpentingan rkyatamp negara bapak ahok yg lebih cocok,Negative,"[0.001136583974584937, 0.9980877041816711, 0.0007756859995424747]"
tnikejagung akan bentuk tim penyidik koneksitas tangani kasus satelit kemhan dukung ikn nusantara b,Positive,"[5.787023837910965e-05, 0.00037144607631489635, 0.9995706677436829]"
angaran belum ada tapi proyek udah di jalankan mirip kasus satelik di kemhan yg sekarang lagi di proses kejaksaan akan terulang jadi kasus ikn anchurr negara,Positive,"[0.0020616757683455944, 0.032080087810754776, 0.9658582210540771]"
yang di buat ikn itu bekas hti bukan hutan asli jd wajar aja klu ikn di bangun di daerah itu dan disekitar ikn masih ada hutan bukit suharto dan hutan bukit bengkirai jd pemerataan pembangunan perlu ke seluruh indonesia jangan semua di jawa jangan parno takut akan perubahan,Positive,"[0.00018999243911821395, 0.006570539902895689, 0.9932395219802856]"
jaksa agung janji tuntaskan kasus ham berat di dukung ikn nusantara,Positive,"[5.728233736590482e-05, 0.00044731044908985496, 0.9994953870773315]"
kejagung berhasil selamatkan keuangan negara rp triliun sepanjang dukung ikn nusantara,Positive,"[5.747472096118145e-05, 0.00025094160810112953, 0.9996916055679321]"
di seluruh dunia semua negara berhutang berjuang melawan covid diberi kelonggaran oleh world bank dll dana awal unt ikn sdh ada unt pembangunan awal infra struktur istana dll unt meyakinkan investor bhw ri bersungguh baru investor masuk dst ini proyek thn an,Negative,"[6.042433233233169e-05, 0.9986850619316101, 0.0012544402852654457]"
harapan rakyat terlalu sering dimintai apa harapan anda mengharap indonesia tidak ngutang dan bisa melunasi utang aja susah korupsi merajalela teroris masih tak terkalahkan di papua yang bikin kebelet bikin ikn tuh apa sih jakarta adalah impian amp harapan,Negative,"[0.00013275783567223698, 0.9930092096328735, 0.00685807503759861]"
lokasi pusat ikn seingat saya berstatus konsensi hti hutan tanaman industri jadi ya harusnya tdk bisa diperjual belikan lain cerita kalau area penyangganya penajam kota atau balikpapan,Positive,"[0.00011728987010428682, 0.00023908201546873897, 0.9996435642242432]"
provokasi amp info hoax ini semua kemungkinan besar didapatkan dr pengajian oleh ulama radikal dan otak mrk sdh didoktrin sebegitu bodoh nya logika dan lugas bicara bhw ikn utk tiongkok,Negative,"[0.009914746508002281, 0.9706616997718811, 0.019423477351665497]"
ikn hegemoni kapitalis smua hastag ini dr khilafahers group intoleran radikal ekstrimis jihadis islamis dan teroris yg bergabung dlm pki partai khilafahis indonesia wadah anggotasimpatisanpendukung khilafah di sini,Negative,"[0.0006322734989225864, 0.9964305758476257, 0.002937162294983864]"
b kaltim edy mulyadi cs diduga digunakan kelompok radikal untuk provokasi ikn di,Negative,"[0.0002487754391040653, 0.9985378980636597, 0.001213341485708952]"
berbagai kinerja kpk dan kejagung semakin efektif berani dan profesional dalam memberantas korupsi dukung ikn nusantara,Positive,"[0.0001458599726902321, 0.0017088023014366627, 0.998145341873169]"
buron tahun terpidana korupsi bank mandiri ditangkap kejagung dukung ikn nusantara,Negative,"[7.424134673783556e-05, 0.9934913516044617, 0.006434389390051365]"
buron tahun terpidana korupsi bank mandiri di tangkap kejagung dukung ikn nusantara,Negative,"[0.0001623902644496411, 0.9712732434272766, 0.02856435440480709]"
ditangkap kejagung dukung ikn nusantara,Positive,"[8.226113277487457e-05, 0.0004724762693513185, 0.9994452595710754]"
dukung ikn nusantara tnikejagung akan bentuk tim penyidik koneksitas tangani kasus satelit kemhan,Positive,"[6.322128319879994e-05, 0.0003091341641265899, 0.9996275901794434]"
dukung ikn nusantara buronan tahun terpidana korupsi bank mandiri ditangkap kejagung,Negative,"[9.593903814675286e-05, 0.9889805316925049, 0.01092346291989088]"
dukung ikn nusantara kejagung berhasil selamatkan keuangan negara rp triliun sepanjang,Positive,"[5.372514351620339e-05, 0.00031304548610933125, 0.9996331930160522]"
hti masih ada mereka terus berkamuflase untuk mengamankan statusnya mereka muncul kembali dan mudah ditebak saat pemerintah mengambil kebijakan utk pemindahan ikn mereka terus menerus memojokkan pemerintah terkait ikn dari mulai isu pki cina dll,Negative,"[3.297236253274605e-05, 0.9990339279174805, 0.0009331252658739686]"
ikn formulasi imigran china sejak ribuan tersebar di nusantara via penerbangan amp kapal laut besar dr china ke indonesia mereka dijamin naga,Negative,"[4.87755642097909e-05, 0.9988883137702942, 0.0010628203162923455]"
ini daftar ott kpk era firli bahuri cs kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korups dukung ikn nusantara,Positive,"[0.0001586359867360443, 0.0016811121022328734, 0.9981603026390076]"
jaksa agung janji tuntaskan kasus ham berat di pelanggaran ham masa lalu bukan dilakukan oleh pemerintahan presiden jokowi dukung ikn nusantara,Positive,"[5.801609586342238e-05, 0.00040805042954161763, 0.999534010887146]"
jaksa agung janji tuntaskan kasus pelanggaran ham di masa lalu dukung ikn nusantara,Positive,"[6.0447113355621696e-05, 0.0005091446219012141, 0.9994303584098816]"
jaksa agung janji tuntaskan kasus pelanggaran ham masa lalu dukung ikn nusantara,Positive,"[5.951540879323147e-05, 0.00046447975910268724, 0.9994760155677795]"
jokowi bentuk timsus kasus pelanggaran ham berat anggotanya jaksa senior dukung ikn nusantara,Positive,"[5.875082206330262e-05, 0.00034243668778799474, 0.9995988011360168]"
kapitalislah dibalik proyek ikn ideologi yang bersifat destruktif ini hanya akan hengkang dengan penerapan islam kaffah islamlah satusatunya solusi gt lt,Positive,"[0.00033038106630556285, 0.00012464508472476155, 0.9995449185371399]"
kapitalislah dibalik proyek ikn ideologi yang bersifat destruktif ini hanya akan hengkang dengan penerapan islam kaffah islamlah satusatunya solusi gtgt ltlt gtgt,Positive,"[0.00031208342988975346, 0.00011517810344230384, 0.9995726943016052]"
kapitalislah dibalik proyek ikn ideologi yang bersifat destruktif ini hanya akan hengkang dengan penerapan islam kaffah islamlah satusatunya solusi gtgt ltlt ikn hegemoni kapitalis gtgt,Positive,"[0.0003184244560543448, 0.00012041609443258494, 0.9995611310005188]"
kapitalislah dibalik proyek ikn ideologi yang bersifat destruktif ini hanya akan hengkang dengan penerapan islam kaffah islamlah satusatunya solusi gtgt ltlt ikn hegemoni kapitalis,Positive,"[0.00031795038376003504, 0.000124008598504588, 0.9995580315589905]"
kawal kasus pelecehan mahasiswi universitas riau kajari pekanbaru dan jaksa senior bakal turun tangan dukung ikn nusantara,Negative,"[5.651249011862092e-05, 0.9991505146026611, 0.0007929770508781075]"
kejagung bentuk tim penyidik pelanggaran ham dukung ikn nusantara,Positive,"[7.730743527645245e-05, 0.00024160982866305858, 0.9996811151504517]"
kejaksaan agung dukung ikn nusantara,Positive,"[7.6409982284531e-05, 0.0003548939130268991, 0.9995686411857605]"
kejaksaan agung bentuk tim penyidik kasus pelanggaran ham berat di paniai dukung ikn nusantara,Positive,"[7.385519711533561e-05, 0.00024016783572733402, 0.9996860027313232]"
kejaksaan agung bentuk tim penyidik kasus pelanggaran ham berat di pantai dukung ikn nusantara,Positive,"[5.873729969607666e-05, 0.00026371670537628233, 0.9996775388717651]"
kejaksaan bekasi eksekusi kepala desa mafia tanah ke penjara dukung ikn nusantara,Negative,"[4.419298784341663e-05, 0.9978171586990356, 0.0021385420113801956]"
kejaksaan bekasi dukung ikn nusantara,Positive,"[7.855035073589534e-05, 0.0003523776831571013, 0.9995691180229187]"
kejaksaan dan polri semakin profesional dukung ikn nusantara,Positive,"[8.192973473342136e-05, 0.0004668556503020227, 0.999451220035553]"
kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korupsi dukung ikn nusantar,Positive,"[0.002100521232932806, 0.02889496646821499, 0.9690045118331909]"
komisi iii dpr sebut kinerja kpk di awal alami peningkatan kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korups dukung ikn nusantara,Positive,"[8.958790567703545e-05, 0.0010623731650412083, 0.9988480806350708]"
lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korupsi dukung ikn nusantara,Positive,"[0.000223728027776815, 0.004298387095332146, 0.9954778552055359]"
lembaga penegak hukum semakin tegas dan profesional kejagung berikan komitmen pemberantasan korupsi lewat kerja nyata dukung ikn nusantara,Negative,"[6.687110726488754e-05, 0.9973902106285095, 0.0025430258829146624]"
mendukung kejagung untuk tuntaskan kasus pelanggaran ham dukung ikn nusantara,Positive,"[5.973301813355647e-05, 0.0006605502567254007, 0.9992796778678894]"
pemindahan ibu kota negara ke nusantara kalimantan saya rasa merupakan strategi yg tepat penyelamatan indonesia dari kelompok radikal yang sudah menduduki jakarta selama ini hanya dayak yg jelas menolak kelompok intoleran,Negative,"[5.3318843129090965e-05, 0.9994291663169861, 0.0005174733814783394]"
penegakan hukum sepanjang tahun di indonesia dinilai berjalan dengan membaik khsusnya lagi kasus atau perkara tindak pidana korupsi yang diusut oleh kejaksaan dan kepolisian dukung ikn nusantara,Positive,"[0.0007492023287340999, 0.014675783924758434, 0.9845750331878662]"
polri kejaksaan ri dan kpk semakin efektif berani dan profesional dalam memberantas korupsi yang ada di indonesia dukung ikn nusantara,Positive,"[0.00013034016592428088, 0.0015322735998779535, 0.9983373880386353]"
prabowo siap bantu kejagung ungkap dugaan kasus satelit bodong dukung ikn nusantara,Positive,"[0.00010918299813056365, 0.0016241485718637705, 0.9982666969299316]"
prabowo siap bantu kejagung ungkap dugaan kasus satelit bodong kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korups dukung ikn nusantara,Positive,"[0.0003121081681456417, 0.01063206885010004, 0.989055871963501]"
prabowo siap bantu kejagung ungkap dugaan kasus satelit bodong selalu dukung ikn nusantara,Positive,"[0.0002897279046010226, 0.011236359365284443, 0.9884739518165588]"
rt di kalimantan monyet hti dan para monyet hti tidak bisa menancapkan pengaruhnya shg dapat diduga agenda besar monyetmonyet hti akan hancur beda halnya kalau ibu kota negara masih di jakarta,Negative,"[0.00017693698464427143, 0.996705949306488, 0.003117125015705824]"
rt memaksakan pemindahan ikn di tengah krisis pademi hanya untuk menciptakan ladang korupsi baru harus ada perubahan yg radikal untuk menghapus praktek demikian partai rakyat harus berkuasa,Negative,"[4.7285997425206006e-05, 0.9987313151359558, 0.001221468672156334]"
rt kapitalislah dibalik proyek ikn ideologi yang bersifat destruktif ini hanya akan hengkang dengan penerapan islam kaffah islamlah satusatunya solusi gtgt ltlt,Positive,"[0.0002692478883545846, 0.0001263408485101536, 0.9996044039726257]"
rt sampai kapanpun amp dengan cara apapun pks fpi hti dkk akan menolak ikn di kalimantan dengan ibukota disana otomatis ekonomi tumbuh cepat luas kalimantan kali jawa sd tahun lagi penduduk kalimantan lebih banyak dari jawa gagal usaha mereka merebut kekuasaan,Negative,"[5.448976662592031e-05, 0.9990921020507812, 0.0008533124928362668]"
rt ikn formulasi imigran china sejak ribuan tersebar di nusantara via penerbangan amp kapal laut besar dr china ke indonesia mereka dijamin naga,Negative,"[5.031583714298904e-05, 0.9988842606544495, 0.001065329066477716]"
tegas lawan narkoba jaksa di sumut tuntut mati orang dukung ikn nusantara,Negative,"[7.138999353628606e-05, 0.9871203303337097, 0.012808258645236492]"
terpidana korupsi bank mandiri ditangkap kejagung dukung ikn nusantara,Negative,"[0.0008671332616358995, 0.6434886455535889, 0.3556442856788635]"
terpidana korupsi bank mandiri ditangkap kejaksaan agung dukung ikn nusantara,Negative,"[0.00022205179266165942, 0.9615756273269653, 0.03820231929421425]"
tnikejagung akan bentuk tim penyidik koneksitas tangani kasus satelit kemhan dukung ikn nusantara,Positive,"[5.838119614054449e-05, 0.0003655442560557276, 0.9995760321617126]"
tnikejagung akan bentuk tim penyidik koneksitas tangani kasus satelit kemhan kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korups dukung ikn nusantara,Positive,"[0.00014643183385487646, 0.0018549375236034393, 0.9979986548423767]"
minyak goreng mahal bikin berita radikal pcr dirsmpok bikin cerita radikal anak jokowi kkn bikin kisah radikal dana pen mau dipakai buat ikn pokoknya beritanya harus ada radikal batu bara diimpor ekspor lagi lempar aja radikal semua masalah bisa diselesaikan dg cara radikal,Negative,"[0.00013097122428007424, 0.9990808963775635, 0.0007881134515628219]"
oalah nur nur sebenarnya bukan itu alasan kalian menolak ikn yg baru bukan krn takut mangkrak sbbnya kalian tdk bisa membuat dan takut tdk bs bersuara sesuai keinginan fks suara kalian tdk didengar dikaltim dan kelompok radikal sprt kalian tdk bs berkembang dikaltim,Negative,"[0.00019925400556530803, 0.9996187686920166, 0.00018200388876721263]"
alhamdulillahibu kota baru dijamin aman dr ketololan para pendukung hti dan pengimpi khilafahmakasih masyarakat dayak,Negative,"[0.00015631750284228474, 0.9991601705551147, 0.0006835975218564272]"
pks fpi hti dkk matian menolak ikn di kalimantan krn upaya mereka menanam benih khilafah yg sudah tumbuh di jawa hancur berantakan nantinya kalimantan akan menjadi pusat peradaban baru nusantara dg jumlah penduduk lebih besar dr p jawa secara elektoral mereka makin sulit,Negative,"[3.4324202715652063e-05, 0.9992710947990417, 0.0006945874192751944]"
mudahan radikal yg di maksud radikal penggundulan hutan radikal baksos radikal mapia tanah radikal bisnis pcr radikal ikn bukan begitu pak jendral,Negative,"[0.001132532604970038, 0.9985901713371277, 0.0002772859006654471]"
bab radikal n teroris di buka kembalirakyat di mohon lupakan bab komuniskoruptorkkniknopmbisnis vaksinpembunuh km utang negara dll,Negative,"[0.0004159283416811377, 0.9982995390892029, 0.0012845665914937854]"
kinerja lembaga pemerintah polri kejaksaan ri amp kpk semakin efektif berani dan profesional dalam memberantas korupsi ikn pemerataan pembangunan,Neutral,"[0.5350567698478699, 0.4475754499435425, 0.01736772619187832]"
ledakan dari bom rakitan ikan bukan ikn tdk terkait terorisme,Negative,"[0.09605463594198227, 0.8988104462623596, 0.005134936422109604]"
polri kejaksaan ri amp kpk terus meningkatkan sinergitas untuk berantas korupsi ikn pemerataan pembangunan,Negative,"[0.0002873837947845459, 0.9795364141464233, 0.020176222547888756]"
pro kontra ikn warga lokal senang dgn penunjukan wilayahnya jadi ikn tapi siapsiap tanah kalian adat kalian budaya kalian lamalama akan tergerus globalisasitengok warga dan budaya asli betawi luntur semoga tidak terjadi,Positive,"[0.00021381037367973477, 0.0003893889661412686, 0.999396800994873]"
rt pks fpi hti dkk matian menolak ikn di kalimantan krn upaya mereka menanam benih khilafah yg sudah tumbuh di jawa hancur berantakan nantinya kalimantan akan menjadi pusat peradaban baru nusantara dg jumlah penduduk lebih besar dr p jawa secara elektoral mereka makin sulit,Negative,"[3.750599717022851e-05, 0.9993334412574768, 0.0006290040328167379]"
pt itci milik tanoto sbg pemegang konsesi hti termasuk yg ha sukanto tanono pemilik rge group menguasai ha lahan ikn hti itu konsesi bukan kepemilikan amp dpt diambil setiap saat oleh pemerintah utk kepentingan nasional eksekusi oleh klhk,Positive,"[0.0001583563134772703, 0.0013387686340138316, 0.9985028505325317]"
berita radikal radikul lag yg terus kumandangkan biar pada lupa lahirnya uu ikn yg telah disetujui dpr,Negative,"[0.000595833349507302, 0.9982252717018127, 0.0011789104901254177]"
